season,cleaned_team_batting,phase,deliveries,total_runs,wickets,boundaries,fours,sixes,dot_balls,run_rate,balls_played_per_wkt,dot_ball_percentage,boundary_percentage,Six_Rate
2012,Pune Warriors,Middle,888,1017,34,90,67,23,311,6.87,26.12,35.02,10.14,2.59
2012,Pune Warriors,Powerplay,698,757,34,97,82,13,348,6.51,20.53,49.86,13.9,1.86
2012,RCB,Death,355,623,29,82,48,34,109,10.53,12.24,30.7,23.1,9.58
2012,RCB,Middle,845,1142,30,123,68,55,286,8.11,28.17,33.85,14.56,6.51
2012,RCB,Powerplay,651,707,24,99,70,29,361,6.52,27.12,55.45,15.21,4.45
2012,RR,Death,372,573,32,73,54,19,120,9.24,11.62,32.26,19.62,5.11
2012,RR,Middle,895,1118,35,115,79,36,321,7.49,25.57,35.87,12.85,4.02
2012,RR,Powerplay,694,825,17,128,113,14,345,7.13,40.82,49.71,18.44,2.02
2012,SRH,Death,338,570,34,70,39,31,100,10.12,9.94,29.59,20.71,9.17
2012,SRH,Middle,828,1015,33,101,71,30,277,7.36,25.09,33.45,12.2,3.62
2012,SRH,Powerplay,648,727,22,95,78,16,312,6.73,29.45,48.15,14.66,2.47
2013,CSK,Death,380,696,22,91,58,33,104,10.99,17.27,27.37,23.95,8.68
2013,CSK,Middle,941,1216,40,120,87,33,287,7.75,23.52,30.5,12.75,3.51
2013,CSK,Powerplay,777,866,28,114,96,18,385,6.69,27.75,49.55,14.67,2.32
2013,DC,Death,323,451,36,55,35,20,123,8.38,8.97,38.08,17.03,6.19
2013,DC,Middle,831,942,37,90,74,15,310,6.8,22.46,37.3,10.83,1.81
2013,DC,Powerplay,658,689,32,98,84,14,372,6.28,20.56,56.53,14.89,2.13
2013,KKR,Death,344,520,32,65,43,21,125,9.07,10.75,36.34,18.9,6.1
2013,KKR,Middle,878,959,41,99,73,26,372,6.55,21.41,42.37,11.28,2.96
2013,KKR,Powerplay,701,811,29,116,106,10,375,6.94,24.17,53.5,16.55,1.43
2013,MI,Death,441,775,38,104,51,53,144,10.54,11.61,32.65,23.58,12.02
2013,MI,Middle,1046,1290,50,143,103,39,368,7.4,20.92,35.18,13.67,3.73
2013,MI,Powerplay,825,910,26,125,99,25,441,6.62,31.73,53.45,15.15,3.03
2013,PBKS,Death,318,488,40,61,35,26,115,9.21,7.95,36.16,19.18,8.18
2013,PBKS,Middle,862,1140,36,125,92,33,297,7.94,23.94,34.45,14.5,3.83
2013,PBKS,Powerplay,686,800,28,123,117,6,340,7.0,24.5,49.56,17.93,0.87
2013,Pune Warriors,Death,367,474,46,58,39,19,147,7.75,7.98,40.05,15.8,5.18
2013,Pune Warriors,Middle,880,1009,39,101,59,42,347,6.88,22.56,39.43,11.48,4.77
2013,Pune Warriors,Powerplay,695,779,26,107,92,15,353,6.73,26.73,50.79,15.4,2.16
2013,RCB,Death,284,553,21,82,51,31,96,11.68,13.52,33.8,28.87,10.92
2013,RCB,Middle,742,1025,24,113,70,43,263,8.29,30.92,35.44,15.23,5.8
2013,RCB,Powerplay,610,711,18,108,85,23,332,6.99,33.89,54.43,17.7,3.77
2013,RR,Death,383,587,24,69,45,24,126,9.2,15.96,32.9,18.02,6.27
2013,RR,Middle,995,1267,48,141,106,35,345,7.64,20.73,34.67,14.17,3.52
2013,RR,Powerplay,779,851,22,127,116,11,417,6.55,35.41,53.53,16.3,1.41
2013,SRH,Death,345,524,28,59,35,24,108,9.11,12.32,31.3,17.1,6.96
2013,SRH,Middle,870,946,41,87,66,21,334,6.52,21.22,38.39,10.0,2.41
2013,SRH,Powerplay,697,698,31,94,88,6,367,6.01,22.48,52.65,13.49,0.86
2014,CSK,Death,349,573,19,64,37,27,106,9.85,18.37,30.37,18.34,7.74
